iter	Passed	Remaining
0	137	68626
1	241	60061
2	281	46605
3	392	48695
4	436	43195
5	483	39786
6	600	42324
7	627	38592
8	681	37191
9	723	35441
10	776	34518
11	809	32908
12	936	35074
13	1036	35980
14	1200	38814
15	1294	39169
16	1480	42052
17	1513	40517
18	1581	40045
19	1710	41041
20	1776	40523
21	1904	41384
22	2004	41565
23	2037	40416
24	2201	41834
25	2339	42650
26	2498	43766
27	2661	44867
28	2779	45141
29	2903	45481
30	3066	46393
31	3190	46665
32	3320	46990
33	3438	47134
34	3547	47126
35	3651	47062
36	3768	47163
37	3891	47308
38	4003	47327
39	4100	47152
40	4199	47018
41	4308	46981
42	4432	47105
43	4539	47041
44	4668	47198
45	4796	47338
46	4873	46974
47	4982	46917
48	5092	46868
49	5195	46762
50	5291	46583
51	5398	46513
52	5480	46222
53	5574	46039
54	5684	45988
55	5778	45816
56	5859	45541
57	5963	45443
58	6071	45378
59	6230	45688
60	6328	45541
61	6443	45517
62	6572	45591
63	6664	45405
64	6791	45448
65	6909	45436
66	7031	45439
67	7115	45203
68	7213	45055
69	7340	45092
70	7479	45195
71	7597	45162
72	7682	44939
73	7775	44759
74	7851	44493
75	7982	44535
76	8109	44551
77	8217	44460
78	8319	44333
79	8428	44252
80	8545	44205
81	8646	44075
82	8777	44097
83	8950	44323
84	9064	44256
85	9132	43962
86	9231	43824
87	9352	43788
88	9485	43804
89	9615	43804
90	9699	43594
91	9784	43392
92	9879	43234
93	9972	43071
94	10066	42916
95	10203	42939
96	10323	42889
97	10508	43105
98	10645	43118
99	10794	43178
100	10973	43350
101	11145	43489
102	11291	43522
103	11411	43449
104	11490	43224
105	11602	43125
106	11736	43106
107	11858	43042
108	11985	42992
109	12163	43123
110	12281	43042
111	12379	42886
112	12474	42724
113	12570	42562
114	12654	42364
115	12761	42245
116	12871	42133
117	13011	42123
118	13112	41981
119	13228	41891
120	13340	41785
121	13463	41714
122	13618	41740
123	13727	41624
124	13850	41552
125	13959	41435
126	14075	41341
127	14170	41182
128	14326	41201
129	14448	41121
130	14630	41212
131	14737	41085
132	14871	41035
133	14959	40859
134	15054	40703
135	15127	40488
136	15219	40325
137	15325	40201
138	15486	40219
139	15579	40061
140	15658	39868
141	15766	39748
142	15863	39602
143	15979	39505
144	16093	39402
145	16192	39262
146	16324	39200
147	16433	39085
148	16527	38934
149	16628	38800
150	16728	38664
151	16835	38543
152	16968	38485
153	17075	38365
154	17184	38248
155	17294	38137
156	17418	38054
157	17597	38090
158	17694	37947
159	17843	37917
160	17953	37803
161	18076	37714
162	18205	37640
163	18323	37540
164	18420	37399
165	18554	37331
166	18645	37179
167	18760	37074
168	18879	36977
169	18994	36871
170	19075	36700
171	19143	36505
172	19229	36347
173	19329	36215
174	19419	36064
175	19508	35913
176	19604	35776
177	19703	35642
178	19790	35491
179	19911	35397
180	20021	35286
181	20087	35098
182	20195	34982
183	20293	34851
184	20405	34744
185	20503	34614
186	20622	34518
187	20725	34395
188	20836	34286
189	20937	34161
190	21024	34013
191	21133	33901
192	21250	33801
193	21359	33691
194	21454	33556
195	21553	33429
196	21655	33306
197	21742	33162
198	21853	33054
199	21974	32961
200	22086	32854
201	22184	32728
202	22304	32632
203	22407	32512
204	22526	32416
205	22761	32485
206	23083	32673
207	23369	32807
208	23622	32890
209	24032	33187
210	24278	33253
211	24531	33326
212	24894	33543
213	25205	33686
214	25499	33801
215	25736	33838
216	25979	33880
217	26257	33966
218	26534	34046
219	26803	34112
220	27086	34195
221	27354	34255
222	27630	34320
223	27924	34407
224	28241	34517
225	28366	34391
226	28625	34426
227	28871	34443
228	29170	34520
229	29424	34541
230	29692	34576
231	29948	34595
232	30187	34593
233	30440	34603
234	30689	34607
235	30958	34631
236	31220	34646
237	31542	34723
238	31816	34744
239	32086	34760
240	32369	34787
241	32601	34756
242	32882	34777
243	33167	34798
244	33612	34984
245	33992	35097
246	34285	35118
247	34628	35187
248	34912	35192
249	35211	35211
250	35460	35177
251	35763	35196
252	36126	35269
253	36537	35386
254	36942	35493
255	37252	35506
256	37594	35546
257	37889	35539
258	38220	35564
259	38537	35572
260	38881	35604
261	39211	35619
262	39516	35609
263	39761	35544
264	40033	35501
265	40345	35491
266	40615	35443
267	40960	35458
268	41293	35460
269	41717	35537
270	41991	35483
271	42326	35479
272	42627	35444
273	43098	35548
274	43459	35557
275	43847	35586
276	44099	35502
277	44376	35436
278	44708	35414
279	44959	35325
280	45205	35231
281	45456	35140
282	45638	34994
283	45893	34904
284	46208	34858
285	46525	34813
286	46796	34730
287	47105	34675
288	47413	34616
289	47667	34517
290	47953	34441
291	48199	34333
292	48467	34241
293	48781	34179
294	49073	34102
295	49509	34121
296	49712	33978
297	49900	33825
298	50218	33758
299	50559	33706
300	50939	33677
301	51183	33557
302	51487	33475
303	51754	33367
304	52059	33283
305	52317	33168
306	52631	33087
307	52856	32949
308	53186	32875
309	53467	32770
310	53951	32787
311	54282	32708
312	54551	32591
313	54817	32471
314	55117	32370
315	55467	32297
316	55775	32198
317	56071	32091
318	56303	31946
319	56576	31824
320	56850	31701
321	57133	31583
322	57386	31447
323	57570	31272
324	57789	31117
325	58037	30976
326	58294	30841
327	58575	30716
328	58822	30573
329	59092	30441
330	59327	30291
331	59548	30132
332	59784	29981
333	60041	29841
334	60354	29726
335	60620	29588
336	60892	29452
337	61163	29314
338	61398	29159
339	61618	28997
340	61831	28830
341	62092	28685
342	62352	28540
343	62550	28366
344	62826	28226
345	63098	28084
346	63352	27933
