iter	Passed	Remaining
0	335	167447
1	494	123208
2	539	89419
3	670	83111
4	703	69672
5	734	60486
6	833	58692
7	861	52983
8	892	48669
9	908	44540
10	936	41636
11	953	38778
12	1085	40655
13	1179	40946
14	1281	41436
15	1365	41299
16	1460	41503
17	1486	39801
18	1538	38941
19	1619	38865
20	1673	38168
21	1777	38611
22	1845	38274
23	1872	37132
24	1976	37558
25	2091	38121
26	2187	38319
27	2287	38559
28	2404	39044
29	2507	39290
30	2630	39791
31	2727	39895
32	2818	39881
33	2915	39959
34	3006	39945
35	3103	40004
36	3199	40042
37	3361	40866
38	3474	41067
39	3580	41180
40	3661	40995
41	3762	41034
42	3874	41177
43	4031	41777
44	4207	42538
45	4337	42807
46	4432	42719
47	4580	43129
48	4776	43966
49	4911	44205
50	5002	44039
51	5099	43931
52	5180	43693
53	5278	43596
54	5388	43596
55	5505	43647
56	5610	43608
57	5749	43813
58	5860	43807
59	5987	43910
60	6120	44050
61	6279	44359
62	6414	44490
63	6528	44475
64	6677	44689
65	6819	44844
66	6948	44908
67	7049	44783
68	7160	44724
69	7289	44781
70	7418	44826
71	7548	44868
72	7655	44780
73	7761	44679
74	7838	44415
75	7956	44388
76	8085	44420
77	8207	44406
78	8305	44261
79	8416	44188
80	8526	44106
81	8636	44022
82	8785	44136
83	8927	44211
84	9049	44181
85	9124	43925
86	9237	43851
87	9353	43792
88	9506	43901
89	9642	43925
90	9728	43726
91	9824	43568
92	9932	43468
93	10036	43349
94	10162	43322
95	10303	43360
96	10410	43250
97	10574	43375
98	10671	43226
99	10764	43059
100	10870	42943
101	10961	42770
102	11065	42652
103	11151	42459
104	11204	42151
105	11289	41962
106	11420	41947
107	11557	41949
108	11657	41815
109	11780	41766
110	11870	41600
111	11980	41504
112	12086	41393
113	12192	41282
114	12281	41116
115	12387	41008
116	12497	40911
117	12636	40906
118	12748	40818
119	12857	40716
120	12947	40553
121	13043	40412
122	13181	40401
123	13277	40259
124	13405	40217
125	13509	40100
126	13626	40021
127	13709	39842
128	13832	39780
129	13957	39724
130	14061	39607
131	14155	39462
132	14286	39421
133	14380	39277
134	14475	39138
135	14548	38938
136	14655	38831
137	14760	38720
138	14921	38753
139	15014	38608
140	15104	38458
141	15223	38380
142	15311	38225
143	15452	38201
144	15561	38097
145	15675	38006
146	15867	38102
147	15995	38043
148	16111	37952
149	16227	37863
150	16326	37734
151	16435	37629
152	16542	37517
153	16645	37399
154	16820	37438
155	16944	37365
156	17130	37424
157	17260	37360
158	17374	37261
159	17559	37313
160	17690	37249
161	17809	37159
162	17924	37059
163	18043	36967
164	18159	36868
165	18307	36836
166	18412	36714
167	18533	36625
168	18673	36573
169	18804	36502
170	18891	36346
171	18954	36145
172	19045	35999
173	19161	35901
174	19261	35772
175	19369	35657
176	19465	35522
177	19567	35396
178	19697	35323
179	19837	35266
180	19958	35176
181	20012	34967
182	20137	34883
183	20234	34750
184	20355	34659
185	20440	34506
186	20532	34367
187	20640	34254
188	20753	34149
189	20872	34054
190	20981	33944
191	21091	33834
192	21192	33710
193	21307	33608
194	21394	33462
195	21480	33316
196	21571	33178
197	21654	33028
198	21764	32920
199	21877	32816
200	21970	32681
201	22060	32544
202	22158	32418
203	22245	32277
204	22346	32156
205	22457	32050
206	22593	31980
207	22708	31879
208	22798	31743
209	22905	31631
210	22992	31491
211	23086	31363
212	23204	31266
213	23300	31139
214	23418	31042
215	23521	30927
216	23615	30797
217	23735	30703
218	23849	30600
219	23952	30484
220	24070	30387
221	24175	30273
222	24278	30158
223	24374	30032
224	24484	29925
225	24545	29758
226	24669	29669
227	24777	29559
228	24907	29476
229	25001	29349
230	25117	29248
231	25219	29133
232	25343	29041
233	25454	28935
234	25557	28820
235	25664	28709
236	25763	28589
237	25934	28549
238	26067	28467
239	26202	28386
240	26305	28270
241	26414	28161
242	26513	28040
243	26612	27921
244	26729	27820
245	26822	27694
246	26909	27563
247	27001	27436
248	27094	27311
249	27200	27200
250	27281	27064
251	27377	26942
252	27476	26825
253	27575	26706
254	27695	26609
255	27802	26499
256	27922	26401
257	28016	26278
258	28111	26157
259	28207	26037
260	28318	25931
261	28427	25823
262	28515	25696
263	28590	25558
264	28679	25432
265	28796	25332
266	28911	25230
267	29046	25144
268	29158	25039
269	29285	24946
270	29369	24817
271	29461	24695
272	29554	24574
273	29655	24459
274	29768	24355
275	29877	24248
276	29964	24122
277	30044	23992
278	30142	23876
279	30232	23754
280	30341	23646
281	30431	23525
282	30497	23385
283	30597	23271
284	30708	23165
285	30817	23059
286	30905	22936
287	30992	22814
288	31080	22691
289	31162	22566
290	31253	22446
291	31353	22333
292	31433	22207
293	31526	22089
294	31629	21979
295	31721	21862
296	31782	21723
297	31843	21585
298	31969	21491
299	32090	21393
300	32218	21300
301	32299	21176
302	32393	21060
303	32470	20935
304	32573	20825
305	32668	20711
306	32770	20601
307	32837	20469
308	32927	20353
309	33008	20230
310	33109	20121
311	33201	20006
312	33303	19897
313	33399	19784
314	33495	19671
315	33615	19573
316	33721	19466
317	33807	19349
318	33899	19234
319	34008	19129
320	34117	19025
321	34211	18911
322	34299	18795
323	34393	18683
324	34484	18568
325	34572	18452
326	34672	18343
327	34759	18227
328	34842	18109
329	34935	17997
330	35027	17884
331	35102	17762
332	35185	17645
333	35271	17530
334	35377	17424
335	35498	17326
336	35604	17221
337	35706	17113
338	35794	16999
339	35877	16883
340	35955	16765
341	36066	16662
342	36178	16559
343	36252	16440
344	36343	16328
345	36445	16221
346	36548	16114
